2,1,1
2,2,2
2,3,3
2,4,4
2,5,5
2,6,6
2,7,7
2,8,8
2,9,9
2,10,10
2,11,11
2,12,12
19,1,1
19,2,2
19,3,3
19,4,4
19,13,13
19,14,11
19,15,14
19,16,15
19,17,16
19,18,17
19,19,10
19,20,18
19,21,19
19,22,8
23,1,1
23,2,2
23,3,3
23,4,4
23,23,20
23,24,6
23,25,18
23,26,8
23,27,21
23,28,10
23,29,22
23,30,11
23,31,23
13,1,1
13,2,2
13,3,3
13,4,4
13,32,24
13,33,19
13,34,25
13,35,10
13,36,11
13,37,26
13,38,27
13,39,28
13,40,17
13,41,9
13,41,29
13,42,22
13,43,21
7,1,1
7,2,2
7,3,3
7,4,4
7,44,30
7,13,13
7,45,31
7,46,14
7,47,17
7,48,32
7,49,33
7,14,11
7,50,21
11,1,1
11,2,2
11,3,3
11,4,4
11,13,13
11,14,11
11,51,31
11,52,5
11,38,27
11,53,34
11,54,28
11,55,6
11,56,17
11,57,19
11,58,10
14,1,1
14,2,2
14,3,3
14,4,4
14,59,35
14,60,5
14,61,36
14,62,11
14,63,19
14,64,37
4,1,1
4,2,2
4,3,3
4,4,4
4,65,38
4,14,11
4,66,34
4,67,39
4,38,27
4,68,23
4,69,18
4,70,10
4,71,33
4,72,19
4,72,21
4,31,17
18,1,1
18,2,2
18,3,3
18,4,4
18,73,40
18,13,13
18,74,41
18,75,42
18,76,43
18,77,31
18,78,25
18,79,12
18,80,35
18,38,27
3,1,1
3,2,2
3,3,3
3,4,4
3,13,13
3,81,11
3,82,44
3,83,45
3,84,46
3,85,31
3,86,29
3,87,17
3,47,19
3,88,21
1,1,1
1,2,2
1,3,3
1,4,4
1,13,13
1,89,47
1,79,12
1,54,48
1,12,12
9,1,1
9,2,2
9,3,3
9,4,4
9,90,10
9,91,49
9,87,50
9,92,51
9,93,33
9,94,52
9,9,53
9,95,54
9,96,35
9,11,11
9,38,27
9,97,55
12,1,1
12,2,2
12,3,3
12,4,4
12,13,13
12,98,53
12,99,56
12,100,57
12,101,38
12,79,12
12,102,21
12,38,27
12,103,58
12,12,12
12,31,31
20,1,1
20,2,2
20,3,3
20,4,4
20,104,58
20,105,47
20,81,11
20,106,59
20,107,60
20,108,54
20,109,61
20,110,31
20,31,62
20,111,36
16,1,1
16,2,2
16,3,3
16,4,4
16,13,13
16,73,40
16,112,37
16,113,62
16,114,63
16,115,44
16,116,10
16,117,64
16,12,12
16,118,65
16,119,31
21,1,1
21,2,2
21,3,3
21,4,4
21,120,43
21,121,66
21,122,67
21,123,68
21,12,12
21,73,40
21,124,69
21,125,64
22,1,1
22,2,2
22,3,3
22,4,4
22,38,27
22,79,12
22,126,22
22,127,70
22,128,28
22,129,71
22,130,14
22,131,72
22,132,73
6,1,1
6,2,2
6,3,3
6,4,4
6,133,31
6,134,30
6,135,54
6,136,74
6,137,69
6,138,14
6,139,64
6,140,75
6,141,76
6,142,77
6,143,34
10,1,1
10,2,2
10,3,3
10,4,4
10,144,68
10,145,51
10,146,78
10,147,79
10,148,75
10,149,80
10,150,64
10,151,28
10,152,74
15,1,1
15,2,2
15,3,3
15,4,4
15,38,27
15,13,13
15,153,54
15,154,75
15,155,69
15,156,34
15,157,29
15,158,14
15,12,12
15,31,71
25,1,1
25,2,2
25,3,3
25,4,4
25,145,73
25,159,22
25,160,42
25,161,28
25,162,81
25,163,78
25,164,74
25,165,79
25,166,82
25,167,71
25,168,72
25,169,34
5,1,1
5,2,2
5,3,3
5,4,4
5,170,62
5,171,83
5,172,19
5,173,9
5,81,11
5,13,13
5,174,56
5,175,36
5,176,84
5,177,31
5,178,14
5,179,39
26,1,1
26,2,2
26,3,3
26,4,4
26,79,12
26,180,85
26,181,86
26,182,63
26,73,40
26,183,21
26,184,36
26,185,36
26,186,83
26,187,31
26,188,36
8,1,1
8,2,2
8,3,3
8,4,4
8,189,87
8,190,88
8,191,21
8,192,62
8,193,36
8,58,83
8,194,60
8,195,19
8,13,13
8,196,31
8,197,39
8,12,12
17,1,1
17,2,2
17,3,3
17,4,4
17,198,89
17,13,13
17,199,90
17,200,59
17,201,91
17,12,12
17,202,36
17,203,92
17,204,69
17,205,93
17,206,88
17,207,85
24,1,1
24,2,2
24,3,3
24,4,4
24,198,89
24,208,36
24,209,68
24,184,14
24,210,43
24,211,46
24,212,28
24,213,23
27,1,1
27,2,2
27,3,3
27,4,4
27,214,10
27,215,75
27,216,62
27,217,56
27,218,28
27,219,91
27,220,88
27,221,90
27,222,83
28,1,1
28,2,2
28,3,3
28,4,4
28,12,12
28,13,13
28,223,27
28,224,39
28,225,44
28,226,83
28,227,90
28,228,94
28,229,95
28,230,96
28,57,97
31,1,1
31,2,2
31,3,3
31,4,4
31,231,74
31,232,94
31,233,44
31,234,83
31,235,28
31,236,90
31,237,98
31,238,97
31,239,57
31,239,28
31,240,74
32,1,1
32,2,2
32,3,3
32,4,4
32,241,99
32,242,100
32,243,74
32,244,8
32,245,101
32,246,102
32,31,64
32,247,54
32,248,56
32,249,31
32,81,74
30,1,1
30,2,2
30,3,3
30,4,4
30,250,100
30,251,102
30,252,34
30,253,33
30,254,8
30,255,31
30,256,54
30,257,103
30,223,27
30,81,74
33,1,1
33,2,2
33,3,3
33,4,4
33,81,11
33,73,39
33,258,99
33,259,104
33,260,83
33,261,93
33,262,105
33,263,102
33,264,96
33,223,27
33,106,106
33,265,106
33,266,106
33,73,40
33,261,107
34,1,1
34,2,2
34,3,3
34,4,4
34,136,77
34,268,108
34,269,109
34,270,110
34,271,111
34,272,112
34,273,106
34,274,106
35,1,1
35,2,2
35,3,3
35,4,4
