247,Tim Wieck
248,Klaus-Peter Kaehler
249,Jona Mues
250,Susanne von Loessl
251,Christian Redl
252,Wilhelm Wieben
253,Michael Lott
254,Eva Weissmann
255,Holger Ohlendieck
256,Johann Herstermann
257,Ingvar Jensen
258,Konstanze Ullmer
259,Jörg Gillner
260,Sabine Hahn
261,Marianne Bernhardt
262,Stefan Conradi
263,Dieter Ohlendiek
264,Torben Liebrecht
265,Rene Spiegelberger
266,Doris Jahn
267,Susann Jarling
268,Anne Marks-Rocke
269,Gerda Gmelin
270,Susanne Beck
271,Frank Felicetti
272,Uwe Friedrichsen
273,Victoria Voncampe
274,Georg Tryphon
275,Andreas Martens
276,Dietmar Mues
277,Hella von der Osten-Sacken
278,Moritz Gentsch
279,Wolf-Dietrich Berg
280,J.S.
281,Katja Stichel
282,Judy Winter
283,Dokter Renz
284,König Boris
285,Schiffmeister (Fettes Brot)
286,Peter Schubert
287,Petra Ehlers
288,Kristina von Weltzien
289,Maria Fuchs
290,Wolfgang Noack
291,Martin Lohmann
292,H. P. Kaehler
293,Richard Ems
294,Gregor Reisch
295,Anne Moll
296,Carlos Goiach
297,Lennardt Krüger
298,Lothar Behrendt
299,Dokter Renz (Fettes Brot)
300,König Boris (Fettes Brot)
301,Alida Gundlach
302,Niko Minninger
303,Harvey Dräger
304,Sven Stricker
305,Jens Herrndorff
306,Elke Reissert
307,Gerhart Hinze
308,Igmar Frentzen
309,Ozanan Rocha
310,Antonio Luz
311,Balduin Baas
312,Elizabeth Volkmann
313,Henning Schlüter
314,Monty Arnold
315,Corny Littmann
316,Werner Pohlenz
317,Erich Krieg
318,Rudolf Herget
319,Peter Groß
320,Roland Becker
321,Alexandra Doerk
322,Klaus Dittmann
323,Carola Lange
324,Johann Schibli
325,Daniel Kruth
326,Ingrid Weiß
327,Wolfgang Hartmann
328,Katrin Wasow
329,Lutz Lukasz
330,Marcel Rinkenauer
331,Kathi Robens
332,Christina Holsten
333,Hanna Reisch
334,Nils Noller
335,Julia von Spieß
336,Sascha Gutzeit
337,Manfred Reddemann
338,Gerhard Marcel
339,Ulli Plessmann
340,Reent Reins
341,Regine Lamster
342,Til Demtröder
343,Barbara Schnipper
344,Tobias Schmidt
345,Hubertus Borck
346,Rasmus Borowski
347,Anja Topf
348,Marius Berthold
349,Jocelyn Boisseaux-Endemann
350,Wanda Osten
351,Jacky Nonnon
352,Sona Cervena
353,Ute Rohrbeck
354,Philip Hoier
355,Wolf Frass
356,Helmut Gentsch
357,Marius Kreissler
358,Regina Lemnitz
359,Brigitte Böttrich
360,Daniel Eggers
361,Anna Carlsson
362,Wilhelm Hornbostel
363,Roswitha Benda
364,Thomas Bug
365,Ines Sawatzki
366,Andrea Lange
367,Stefan Rütter
368,Erik Schäffler
369,Uli Krohm
370,Oliver Böttcher
371,Wilfried Glatzeder
372,Corinna Wodrich
373,Bastian Pastewka
374,Amanda Lear
375,Woody Mues
376,Apollonia Minniger
377,Wolfgang Condrus
378,Dorette Hugo
379,Thomas Bammer
380,Siegfried Kernen
381,Jan Buchwald
382,Thomas Fritsch
383,Ernst Hilbich
384,Lotti Krekel
385,Elga Schütz
386,Stefan Babic
387,Regina Pressler
388,Barbara Marcks
389,Nadja Reichardt
390,Hartmut Kollakowski
391,Celine Fontanges
392,Enie van de Meiklokjes
393,Cäsar
394,Kim Alexander Frank
395,Manuela Dahm
396,Robert Missler
397,Echt
398,Rolf Nagel
399,Dr. Boo Young-Shin
400,Yan Kimsang
401,Prof. Dr. Zhu
402,Ingo Feder
403,Ingeborg Kantstein 
404,Claus Wilcke
405,Ilja Richter
406,Micaela Kreissler
407,Martin Meyer
408,Theresa Underberg
409,Saskia Weckler
410,Jan-David Rönfeldt
411,Traudel Sperber
412,Kai Hendrik Möller
413,Karl-Friedrich Gerster
414,Gustav-Adolph Artz
415,Thor W.Müller
416,Michael Griem
417,Susanne Leu
418,Kristian Kretschmer
419,Ulrike Johannson
420,Linde Fulde
421,Kai Böger
422,Andreas Mattau
423,Michaela Boland
424,Stefanie Kirchberger
425,Christian Rudolf
426,Georg Marquard
427,Wolfgang Wagner
428,Johannes Rothenstein
429,Christian Niehues
430,Nobi Schatka
431,Dennis Jensen
432,Madeleine Weingart
433,Gisela Trowe 
434,Thomas Karallus
435,Eva Maria Bauer
436,Hannelore Wüst
437,Bertram Hiese
438,Ignacio Descalzo
439,Isabell Navarro
440,Herrmann Otto
441,Peter Weiss
442,Victoria von Trautmannsorff
443,Stephan Benson
444,Sophie Lechtenbrink
445,Bernd Stephan
446,Arndt Schmöle
447,Jan-David Rönfeld
448,Daniel Brühl
449,Chiara Ferraú
450,Aaron Lee Ullmer
451,Harry Rowohlt
452,Detlef Bierstedt
453,Marion Klaus
454,Marion Martienzen
455,Lutz Herkenrath
456,Mario Grete
457,Hendrik König
458,Franz-Joseph Steffens
459,Sabine Falkenberg
460,Hermann Otto
461,Jürgen Holdorf
462,Heinz Lieven
463,Marco Sand
464,Ilka Kirsch
465,Alexander Müller
466,Robin Brosch
467,Marion Elskis
468,Susanne Sternberg
469,Kerstin Hilbig
470,Ingeborg Christiansen
471,Olaf Kreutzenbeck
472,Nick Seidensticker
473,Jürgen Strube
474,Michael Weckler
475,Thorsten Weber
476,Herbert Tennigkeit
477,Tina Rehfeld-Wildmann
478,Jörg Pleva
479,Lou Wong
480,Ben Hecker
481,Anton Sprick
482,...
483,Ernst H.Hilbich
484,Frank Thannhäuser
485,Patrick Bach
486,Jannik Endemann
487,Nova Meierheinrich
488,Dirk Bach
489,Marlen Diekhoff
490,Wolf Pahls
491,Nick Heidfeld
492,Holger Wemhoff
493,Frank Tannhäuser
494,Wolf Pahlke
495,Sven Dahlem
496,Tim Knauer
497,Jochen Regelin
498,Marek Erhardt
499,Jesse Grimm
500,Anja Nejarri
501,Abdul Kader-Diab
502,Fathi Farnazmatis
503,Farhat Al Yhi
504,Holger Löwenberg
505,Susanne Stangl
506,Edgar Hoppe
507,Sönke Städtler
508,Sascha Rotermund
509,Stefan Benson
510,Wilfried Hochholdinger
511,Henrike Fehrs
512,Karin Abicht
513,Peter Weis
514,Susanne Lothar
515,Roman Kretschmer
516,Céline Fontanges
517,Katharina von Keller
518,Rhea Harder
519,Karin Buchholz
520,Sky du Mont
521,Jürgen Hohldorf
522,Lukas Sperber
523,Eric Schaeffler
524,Inken Sommer
525,Dae Joon Yoo
526,Wolfgang Pampel
527,Konstantin Graudus
528,Peter Striebeck
529,Steffi Kirchberger
530,Rosemarie Wohlbauer
531,Christine Pappert
532,Jochen Baumert
533,Michael Brennicke
534,Tetje Mierendorf
535,Gerhard Olschewski
536,Burghart Klaußner
537,Simona Pahl
538,René Dawn-Claude
539,Tim Kreuer
540,Gustav Adolph Artz
541,Lili Draeger
542,Christian Senger
543,Annabelle Krieg
544,Hans Meinhardt
545,Daniel Welbat
546,Hilla Fitzen
547,Wolfgang Riehm
548,Tobias Meister
549,Elena Wilms
550,Udo Schenk
551,Meik Spallek
552,Andrea Linau
553,Urs Affolter
