ITL586-AP,Aus dem Leben Traugott Taugerichs
ITL596-B,Donald wird fündig
ITL600-B,Der Gehirntrockenspüler
ITL623-B,Erbschaft mit Hindernissen
ITL628-C,Aug um Auge
ITL616-C,Eine Pilgerfahrt in die Vergangenheit
ITL544-AP,Donald fährt aus der Haut
ICWD37-A,Vorgeschichte
ITL524-A,Donald die Verkaufskanone
WWDC160-04,Oma Duck
ITL548-A,Mass für Mass
ITL530-C,Donald auf der Spur
ITL540-A,Ohne Fleiss kein Preis
ITL511-A,Donald packt das Goldfieber
D1422,Onkel Dagobert
YD50-11-20,Donald Duck
ITL348-A,Der Taucher
WWDC154-12,Der Traktor-Ersatz
YD45-08-25,Die Drohung
ICWD46-A,Vorgeschichte
ITL625-A,Die Platinquelle
ITL618-B,Freud´ und Leid des Radfahrers
ITL628-AP,Geldspeicher Nr. 23
ITL606-A,Die Schatzinsel
ITL609-A,Der Regenmacher
ICWD39-A,Vorgeschichte
ITL582-A,Das Vermächtnis des Dietleib Duck
ITL561-B,Der gewisse Kniff
ITL573-A,"Wie gewonnen, so zerronnen!"
ITL567-B,Der Onkel aus Amerika
ITL574-A,In den Fängen des Geiers
ITL602-AP,Die geheimnisvollen Zündelländer
WWDCD10-14,Gut gemeint...
WWDCD11-20,Der Wunderhut!
WWDCD7-15,Starker Schutz
WWDCD14-14,Folgerichtig...
ICWD47-A,Vorgeschichte
ITL629-A,Der elektronische Doppelgänger
ITL638-B,Wer andern eine Grube gräbt...
ITL585-B,"Von einem, der auszog, das Fotografieren zu lernen"
ITL614-A,Süsser Wettstreit
ITL626-B,"Tick, Trick und Track in Geheimmission unterwegs"
ITL627-C,Onkel Dagobert und der Haushalt-Roboter Heinzel
ICWD48-A,Vorgeschichte
ITL714-AP,Der doppelte Pirat
ITL638-A,Ein echtes Organisationstalent
ITL690-A,Der vernagelte Goldschatz
ITL694-A,Die Talerleitung
ITL664-B,Der Glücks-Fünfziger
ITL692-C,Beim König der Meere
ICWD34-A,Vorgeschichte
ITL439-A,Onkel Dagobert droht Unheil
ITL442-A,Das Nähmaschinen-Projekt
ITL470-A,Onkel Dagobert und die Kantenamphore
ITL410-A,Onkel Dagobert sieht alles
